            # x            y_Lagrange              y_Newton              y_Spline              y_Exacta
   -0.292000000000E+01    0.198813832884E+01    0.198813832884E+01    0.200884645266E+01    0.200234101131E+01
   -0.288000000000E+01    0.219652506881E+01    0.219652506881E+01    0.223206346896E+01    0.221689025298E+01
   -0.284000000000E+01    0.241838244892E+01    0.241838244892E+01    0.247042689361E+01    0.244420130419E+01
   -0.280000000000E+01    0.265285345889E+01    0.265285345889E+01    0.272223700503E+01    0.268337336499E+01
   -0.276000000000E+01    0.289897469989E+01    0.289897469989E+01    0.298579408167E+01    0.293341378198E+01
   -0.272000000000E+01    0.315568116256E+01    0.315568116256E+01    0.325939840194E+01    0.319324241868E+01
   -0.268000000000E+01    0.342181187171E+01    0.342181187171E+01    0.354135024426E+01    0.346169670280E+01
   -0.264000000000E+01    0.369611635685E+01    0.369611635685E+01    0.382994988707E+01    0.373753732864E+01
   -0.260000000000E+01    0.397726190083E+01    0.397726190083E+01    0.412349760878E+01    0.401945458766E+01
   -0.256000000000E+01    0.426384151301E+01    0.426384151301E+01    0.442029368783E+01    0.430607529512E+01
   -0.252000000000E+01    0.455438256758E+01    0.455438256758E+01    0.471863840264E+01    0.459597027601E+01
   -0.248000000000E+01    0.484735604258E+01    0.484735604258E+01    0.501683203164E+01    0.488766236829E+01
   -0.244000000000E+01    0.514118629070E+01    0.514118629070E+01    0.531317485325E+01    0.517963489725E+01
   -0.240000000000E+01    0.543426126872E+01    0.543426126872E+01    0.560596714589E+01    0.547034057065E+01
   -0.236000000000E+01    0.572494314946E+01    0.572494314946E+01    0.589350918800E+01    0.575821073983E+01
   -0.232000000000E+01    0.601157923691E+01    0.601157923691E+01    0.617410125800E+01    0.604166496897E+01
   -0.228000000000E+01    0.629251310341E+01    0.629251310341E+01    0.644604363431E+01    0.631912085099E+01
   -0.224000000000E+01    0.656609586610E+01    0.656609586610E+01    0.670763659536E+01    0.658900400611E+01
   -0.220000000000E+01    0.683069751892E+01    0.683069751892E+01    0.695718041958E+01    0.684975819625E+01
   -0.216000000000E+01    0.708471823643E+01    0.708471823643E+01    0.719297538539E+01    0.709985548708E+01
   -0.212000000000E+01    0.732659956578E+01    0.732659956578E+01    0.741332177122E+01    0.733780638755E+01
   -0.208000000000E+01    0.755483542447E+01    0.755483542447E+01    0.761651985549E+01    0.756216989612E+01
   -0.204000000000E+01    0.776798282291E+01    0.776798282291E+01    0.780086991663E+01    0.777156338242E+01
   -0.200000000000E+01    0.796467223306E+01    0.796467223306E+01    0.796467223306E+01    0.796467223306E+01
   -0.196000000000E+01    0.814361752708E+01    0.814361752708E+01    0.810657759369E+01    0.814025919106E+01
   -0.192000000000E+01    0.830362541333E+01    0.830362541333E+01    0.822663882933E+01    0.829717331952E+01
   -0.188000000000E+01    0.844360430064E+01    0.844360430064E+01    0.832525928126E+01    0.843435852193E+01
   -0.184000000000E+01    0.856257252602E+01    0.856257252602E+01    0.840284229078E+01    0.855086155359E+01
   -0.180000000000E+01    0.865966588579E+01    0.865966588579E+01    0.845979119916E+01    0.864583946158E+01
   -0.176000000000E+01    0.873414441498E+01    0.873414441498E+01    0.849650934770E+01    0.871856639390E+01
   -0.172000000000E+01    0.878539836535E+01    0.878539836535E+01    0.851340007768E+01    0.876843972225E+01
   -0.168000000000E+01    0.881295333814E+01    0.881295333814E+01    0.851086673039E+01    0.879498542694E+01
   -0.164000000000E+01    0.881647453351E+01    0.881647453351E+01    0.848931264712E+01    0.879786269743E+01
   -0.160000000000E+01    0.879577008515E+01    0.879577008515E+01    0.844914116915E+01    0.877686770671E+01
   -0.156000000000E+01    0.875079345461E+01    0.875079345461E+01    0.839075563778E+01    0.873193652358E+01
   -0.152000000000E+01    0.868164486673E+01    0.868164486673E+01    0.831455939428E+01    0.866314713224E+01
   -0.148000000000E+01    0.858857177416E+01    0.858857177416E+01    0.822095577995E+01    0.857072053507E+01
   -0.144000000000E+01    0.847196834543E+01    0.847196834543E+01    0.811034813607E+01    0.845502092054E+01
   -0.140000000000E+01    0.833237397825E+01    0.833237397825E+01    0.798313980393E+01    0.831655488498E+01
   -0.136000000000E+01    0.817047084569E+01    0.817047084569E+01    0.783973412482E+01    0.815596970326E+01
   -0.132000000000E+01    0.798708049023E+01    0.798708049023E+01    0.768053444002E+01    0.797405065072E+01
   -0.128000000000E+01    0.778315948653E+01    0.778315948653E+01    0.750594409083E+01    0.777171738502E+01
   -0.124000000000E+01    0.755979420033E+01    0.755979420033E+01    0.731636641852E+01    0.755001940381E+01
   -0.120000000000E+01    0.731819467708E+01    0.731819467708E+01    0.711220476439E+01    0.731013060087E+01
   -0.116000000000E+01    0.705968769931E+01    0.705968769931E+01    0.689386246972E+01    0.705334294973E+01
   -0.112000000000E+01    0.678570905791E+01    0.678570905791E+01    0.666174287580E+01    0.678105935085E+01
   -0.108000000000E+01    0.649779508710E+01    0.649779508710E+01    0.641624932391E+01    0.649478568421E+01
   -0.104000000000E+01    0.619757351817E+01    0.619757351817E+01    0.615778515535E+01    0.619612211576E+01
   -0.100000000000E+01    0.588675371140E+01    0.588675371140E+01    0.588675371140E+01    0.588675371140E+01
   -0.960000000000E+00    0.556711632972E+01    0.556711632972E+01    0.560380112527E+01    0.556844041803E+01
   -0.920000000000E+00    0.524050252113E+01    0.524050252113E+01    0.531054469778E+01    0.524300647583E+01
   -0.880000000000E+00    0.490880268052E+01    0.490880268052E+01    0.500884452172E+01    0.491232933081E+01
   -0.840000000000E+00    0.457394486374E+01    0.457394486374E+01    0.470056068983E+01    0.457832812036E+01
   -0.800000000000E+00    0.423788292941E+01    0.423788292941E+01    0.438755329487E+01    0.424295180854E+01
   -0.760000000000E+00    0.390258448552E+01    0.390258448552E+01    0.407168242960E+01    0.390816705039E+01
   -0.720000000000E+00    0.357001871915E+01    0.357001871915E+01    0.375480818678E+01    0.357594586734E+01
   -0.680000000000E+00    0.324214418836E+01    0.324214418836E+01    0.343879065917E+01    0.324825321745E+01
   -0.640000000000E+00    0.292089665542E+01    0.292089665542E+01    0.312548993953E+01    0.292703454543E+01
   -0.600000000000E+00    0.260817704041E+01    0.260817704041E+01    0.281676612062E+01    0.261420339811E+01
   -0.560000000000E+00    0.230583957322E+01    0.230583957322E+01    0.251447929519E+01    0.231162919084E+01
   -0.520000000000E+00    0.201568022075E+01    0.201568022075E+01    0.222048955601E+01    0.202112520977E+01
   -0.480000000000E+00    0.173942546423E+01    0.173942546423E+01    0.193665699582E+01    0.174443693353E+01
   -0.440000000000E+00    0.147872149930E+01    0.147872149930E+01    0.166484170740E+01    0.148323075594E+01
   -0.400000000000E+00    0.123512392872E+01    0.123512392872E+01    0.140690378350E+01    0.123908318886E+01
   -0.360000000000E+00    0.101008801434E+01    0.101008801434E+01    0.116470331688E+01    0.101347062113E+01
   -0.320000000000E+00    0.804959551311E+00    0.804959551311E+00    0.940100400293E+00    0.807759705747E+00
   -0.280000000000E+00    0.620966423478E+00    0.620966423478E+00    0.734955126503E+00    0.623198443246E+00
   -0.240000000000E+00    0.459210894503E+00    0.459210894502E+00    0.551127588269E+00    0.460908024456E+00
   -0.200000000000E+00    0.320662684428E+00    0.320662684428E+00    0.390477878348E+00    0.321875490452E+00
   -0.160000000000E+00    0.206152876369E+00    0.206152876369E+00    0.254866089499E+00    0.206947261878E+00
   -0.120000000000E+00    0.116368692624E+00    0.116368692623E+00    0.146152314481E+00    0.116823583689E+00
   -0.800000000000E-01    0.518491738872E-01    0.518491738872E-01    0.661966460531E-01    0.520539248694E-01
   -0.400000000000E-01    0.129817894176E-01    0.129817894174E-01    0.168591769731E-01    0.130333659366E-01
    0.000000000000E+00    0.000000000000E+00   -0.198951966013E-12    0.000000000000E+00    0.000000000000E+00
    0.400000000000E-01    0.129817894176E-01    0.129817894172E-01    0.168591769731E-01    0.130333659366E-01
    0.800000000000E-01    0.518491738872E-01    0.518491738869E-01    0.661966460531E-01    0.520539248694E-01
    0.120000000000E+00    0.116368692624E+00    0.116368692623E+00    0.146152314481E+00    0.116823583689E+00
    0.160000000000E+00    0.206152876369E+00    0.206152876369E+00    0.254866089499E+00    0.206947261878E+00
    0.200000000000E+00    0.320662684428E+00    0.320662684428E+00    0.390477878348E+00    0.321875490452E+00
    0.240000000000E+00    0.459210894503E+00    0.459210894503E+00    0.551127588269E+00    0.460908024456E+00
    0.280000000000E+00    0.620966423478E+00    0.620966423478E+00    0.734955126503E+00    0.623198443246E+00
    0.320000000000E+00    0.804959551311E+00    0.804959551311E+00    0.940100400293E+00    0.807759705747E+00
    0.360000000000E+00    0.101008801434E+01    0.101008801434E+01    0.116470331688E+01    0.101347062113E+01
    0.400000000000E+00    0.123512392872E+01    0.123512392872E+01    0.140690378350E+01    0.123908318886E+01
    0.440000000000E+00    0.147872149930E+01    0.147872149930E+01    0.166484170740E+01    0.148323075594E+01
    0.480000000000E+00    0.173942546423E+01    0.173942546423E+01    0.193665699582E+01    0.174443693353E+01
    0.520000000000E+00    0.201568022075E+01    0.201568022075E+01    0.222048955601E+01    0.202112520977E+01
    0.560000000000E+00    0.230583957322E+01    0.230583957322E+01    0.251447929519E+01    0.231162919084E+01
