 # Paso_MC    Energia    Magnetizacion
       60400  -31782.0000       9046.00000    
       60500  -31702.0000       9088.00000    
       60600  -31494.0000       9002.00000    
       60700  -31570.0000       8996.00000    
       60800  -31506.0000       8978.00000    
       60900  -31574.0000       9056.00000    
       61000  -31510.0000       9006.00000    
       61100  -31818.0000       9208.00000    
       61200  -31746.0000       9016.00000    
       61300  -31902.0000       9244.00000    
       61400  -31770.0000       9084.00000    
       61500  -31662.0000       9098.00000    
       61600  -31902.0000       9150.00000    
       61700  -31694.0000       9116.00000    
       61800  -31770.0000       9146.00000    
       61900  -31806.0000       9198.00000    
       62000  -31830.0000       9156.00000    
       62100  -32034.0000       9180.00000    
       62200  -31594.0000       9010.00000    
       62300  -31754.0000       9154.00000    
       62400  -31910.0000       9148.00000    
       62500  -31882.0000       9158.00000    
       62600  -31534.0000       8998.00000    
       62700  -31766.0000       9178.00000    
       62800  -31734.0000       9160.00000    
       62900  -31710.0000       9122.00000    
       63000  -31938.0000       9244.00000    
       63100  -31602.0000       9104.00000    
       63200  -31894.0000       9228.00000    
       63300  -31874.0000       9174.00000    
       63400  -31658.0000       9050.00000    
       63500  -31890.0000       9196.00000    
       63600  -31646.0000       9006.00000    
       63700  -31486.0000       9060.00000    
       63800  -31670.0000       9120.00000    
       63900  -31746.0000       9092.00000    
       64000  -31414.0000       9028.00000    
       64100  -31838.0000       9206.00000    
       64200  -31806.0000       9130.00000    
       64300  -31870.0000       9118.00000    
       64400  -31818.0000       9038.00000    
       64500  -31518.0000       9008.00000    
       64600  -31566.0000       9052.00000    
       64700  -31786.0000       9104.00000    
       64800  -31830.0000       9162.00000    
       64900  -31714.0000       9112.00000    
       65000  -31602.0000       9136.00000    
       65100  -32306.0000       9328.00000    
       65200  -31530.0000       8956.00000    
       65300  -31786.0000       9034.00000    
       65400  -31878.0000       9178.00000    
       65500  -31630.0000       9044.00000    
       65600  -31694.0000       9138.00000    
       65700  -31854.0000       9176.00000    
       65800  -31954.0000       9234.00000    
       65900  -31650.0000       9102.00000    
       66000  -31766.0000       9138.00000    
       66100  -31954.0000       9202.00000    
       66200  -31550.0000       9064.00000    
       66300  -31690.0000       9124.00000    
       66400  -31686.0000       9094.00000    
       66500  -31674.0000       9070.00000    
       66600  -31526.0000       9002.00000    
       66700  -31634.0000       9116.00000    
       66800  -32010.0000       9200.00000    
       66900  -31730.0000       9110.00000    
       67000  -31710.0000       9090.00000    
       67100  -31766.0000       9174.00000    
       67200  -31710.0000       9114.00000    
       67300  -32034.0000       9224.00000    
       67400  -31498.0000       8986.00000    
       67500  -31838.0000       9180.00000    
       67600  -31738.0000       9136.00000    
       67700  -31818.0000       9166.00000    
       67800  -31926.0000       9230.00000    
       67900  -31726.0000       9110.00000    
       68000  -31454.0000       9002.00000    
       68100  -31614.0000       9000.00000    
       68200  -32006.0000       9202.00000    
       68300  -31494.0000       9056.00000    
       68400  -31694.0000       9094.00000    
       68500  -31550.0000       9070.00000    
       68600  -31658.0000       9090.00000    
       68700  -31702.0000       9132.00000    
       68800  -31614.0000       9058.00000    
       68900  -31750.0000       9050.00000    
       69000  -31722.0000       9030.00000    
       69100  -31682.0000       8980.00000    
       69200  -31750.0000       9142.00000    
       69300  -31770.0000       9128.00000    
       69400  -32010.0000       9188.00000    
       69500  -31718.0000       9116.00000    
       69600  -31530.0000       9062.00000    
       69700  -31654.0000       9038.00000    
       69800  -31738.0000       9134.00000    
       69900  -31554.0000       9028.00000    
